45.59,107.93
41.89,142.68
44.74,176.27
51.96,210.77
67.68,239.81
91.22,262.32
119.2,279.45
151.51,284.89
183.01,279.23
209.74,262.2
232.45,239.89
247.9,211.05
255.16,176.23
257.93,142.38
254,107.45
232.75,90.31
216.29,83.26
190.75,83.62
171.25,87.22
68.37,91.51
85.28,84.03
111.32,84.12
131.04,87.49
83.03,109.6
102.34,101.91
122.41,108.52
102.49,112.85
102.52,106.5
218.66,108.94
199.71,101.41
179.48,108.15
199.59,112.39
199.57,106.01
151.28,101.34
129.03,144.52
119.19,160.19
127.82,171.08
151.99,175.59
175.49,170.8
183.9,159.98
174.17,144.3
151.8,130.86
135.44,166.57
168.38,166.49
108.46,202.73
125.39,195.48
141.24,193.54
151.72,195.84
162.07,193.43
177.41,195.19
193.57,202.32
182.38,211.44
168.89,216.97
151.55,218.78
133.92,217.18
119.89,211.77
130.86,204.84
151.47,206.51
171.74,204.61
171.62,201.72
151.61,203.35
131.25,201.96
152.28,158.92
91.56,104.23
113.67,103.31
112.79,111.11
92.28,111.86
210.39,103.66
188.35,102.92
189.23,110.69
209.64,111.28
